freq,unit,sex,age,duration,geo	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A,THS_PER,T,Y15-74,TOTAL,AT	244.9 	251.8 	270.0 	247.9 	220.1 	204.6 	243.5 	283.7 b	221.1 	240.9 
A,THS_PER,T,Y15-74,TOTAL,BA	: 	: 	: 	: 	: 	: 	: 	241.9 b	211.0 	181.2 
A,THS_PER,T,Y15-74,TOTAL,BE	423.3 	421.8 	389.6 	353.7 b	300.7 	273.7 	282.4 	324.4 b	293.7 	294.2 
A,THS_PER,T,Y15-74,TOTAL,BG	384.5 	305.1 	247.2 	206.9 	173.3 	131.7 b	155.5 	156.7 b	127.3 	132.4 
A,THS_PER,T,Y15-74,TOTAL,CH	226.6 	228.9 	238.2 	233.6 	231.3 	216.3 	237.6 	248.4 b	204.3 	204.3 
A,THS_PER,T,Y15-74,TOTAL,CY	69.5 	62.8 	54.0 	47.2 	36.6 	32.6 	35.2 	34.2 b	31.1 	29.7 
A,THS_PER,T,Y15-74,TOTAL,CZ	323.6 	268.0 	211.4 	155.4 	121.5 	109.0 	137.0 	150.5 b	117.6 	134.0 
A,THS_PER,T,Y15-74,TOTAL,DE	2089.9 	1949.6 	1774.1 	1621.2 	1467.8 	1372.8 	1663.4 b	1562.7 b	1388.4 	1362.4 
A,THS_PER,T,Y15-74,TOTAL,DK	198.2 	181.5 	175.8 b	172.7 b	153.2 	152.0 	170.7 	155.1 b	138.9 	161.9 b
A,THS_PER,T,Y15-74,TOTAL,EA20	18977.9 	17772.4 	16489.8 	14938.8 	13462.7 	12465.8 	12855.5 	12825.2 b	11397.1 	11178.6 
A,THS_PER,T,Y15-74,TOTAL,EE	49.6 	43.3 	47.2 	40.1 	37.6 	31.3 	48.4 	43.1 b	40.2 	47.7 
A,THS_PER,T,Y15-74,TOTAL,EL	1274.4 	1197.0 	1130.9 	1027.0 	915.0 	818.9 	755.0 	677.7 b	588.2 	521.8 
A,THS_PER,T,Y15-74,TOTAL,ES	5610.4 	5056.0 	4481.2 	3916.9 	3479.1 	3247.8 	3530.9 	3476.4 bd	3079.2 d	2937.5 d
A,THS_PER,T,Y15-74,TOTAL,EU27_2020	22835.3 	21151.3 	19321.1 	17320.4 	15465.8 	14313.1 	14976.9 	15031.9 b	13351.3 	13205.3 
A,THS_PER,T,Y15-74,TOTAL,FI	232.1 	252.1 	236.8 	233.9 	201.8 	184.1 	212.7 	211.9 b	190.2 	203.9 
A,THS_PER,T,Y15-74,TOTAL,FR	3026.2 b	3054.1 	2969.5 	2784.0 	2678.4 	2492.9 	2350.5 	2365.3 bd	2234.4 d	2262.9 d
A,THS_PER,T,Y15-74,TOTAL,HR	319.5 	299.0 	231.4 	194.6 	143.0 	111.4 	124.8 	128.1 b	117.4 	105.6 
A,THS_PER,T,Y15-74,TOTAL,HU	343.3 	307.8 	234.6 	191.7 	169.7 b	158.7 	196.5 	193.4 b	174.0 	201.2 
A,THS_PER,T,Y15-74,TOTAL,IE	267.5 	226.2 	194.9 	157.9 b	137.5 	120.9 	136.7 	160.1 b	120.6 	120.3 
A,THS_PER,T,Y15-74,TOTAL,IS	9.1 	7.6 	5.8 	5.5 	5.5 	7.3 	11.3 b	12.6 b	8.3 	8.0 
A,THS_PER,T,Y15-74,TOTAL,IT	3236.0 	3033.3 	3012.0 	2906.9 	2707.5 b	2537.5 	2289.5 	2366.8 b	2027.5 	1946.9 
A,THS_PER,T,Y15-74,TOTAL,LT	158.0 	134.0 	116.2 	103.1 	90.0 	92.0 	126.0 	104.8 b	90.0 	105.8 
A,THS_PER,T,Y15-74,TOTAL,LU	15.3 	18.4 b	17.5 	15.9 	16.6 	17.1 	21.2 	17.0 b	15.0 	17.6 
A,THS_PER,T,Y15-74,TOTAL,LV	107.6 	98.2 	95.3 	85.4 	72.8 	61.3 	78.7 	70.6 b	65.2 	61.5 
A,THS_PER,T,Y15-74,TOTAL,ME	47.5 	47.2 	48.3 	43.9 	42.5 	43.4 	47.8 	: 	: 	: 
A,THS_PER,T,Y15-74,TOTAL,MK	268.8 	248.9 	225.0 	213.6 	198.6 	166.4 	155.9 	: 	: 	: 
A,THS_PER,T,Y15-74,TOTAL,MT	11.6 	11.3 	10.2 	9.2 	9.7 	10.7 	13.2 	10.4 b	10.2 	10.9 
A,THS_PER,T,Y15-74,TOTAL,NL	659.7 	613.8 	538.5 	437.5 	350.4 	314.2 	356.6 	407.9 b	350.2 	358.6 
A,THS_PER,T,Y15-74,TOTAL,NO	94.8 	118.5 	129.5 	114.8 	106.1 	104.0 	125.0 	127.8 b	95.5 	107.1 
A,THS_PER,T,Y15-74,TOTAL,PL	1566.8 	1304.3 	1063.4 	843.9 	659.2 	566.1 b	552.1 	599.0 b	510.8 	502.1 
A,THS_PER,T,Y15-74,TOTAL,PT	725.4 	645.2 	574.1 	464.9 	365.8 	338.6 	354.5 	344.1 b	323.0 	351.1 
A,THS_PER,T,Y15-74,TOTAL,RO	628.7 	623.9 	529.9 	449.3 	379.7 	353.4 	451.8 	459.2 b	464.4 	455.6 
A,THS_PER,T,Y15-74,TOTAL,RS	606.5 b	550.9 	489.4 	435.2 	412.2 	335.9 	286.5 	344.2 b	296.3 	295.8 
A,THS_PER,T,Y15-74,TOTAL,SE	412.4 	388.3 	369.0 	361.7 	346.5 b	376.3 	457.8 	492.8 b	421.1 	439.6 
A,THS_PER,T,Y15-74,TOTAL,SI	98.1 	90.3 	79.6 	67.4 	52.8 	45.7 	51.2 	48.4 b	41.2 	37.5 
A,THS_PER,T,Y15-74,TOTAL,SK	358.9 	314.4 	266.8 	224.0 	179.5 	157.7 	181.4 	187.6 b	170.4 	161.9 
A,THS_PER,T,Y15-74,TOTAL,TR	2842.8 b	3035.4 	3308.4 	3420.7 	3511.6 	4444.7 	4044.9 	3915.2 b	3590.9 	3274.4 
A,THS_PER,T,Y15-74,TOTAL,UK	1995.8 	1746.1 	1599.1 	1446.7 	1346.7 	1269.3 	: 	: 	: 	: 
