freq,citizen,agedef,age,unit,sex,geo	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,REACH,TOTAL,NR,T,AT	51197 	51812 	54071 	53491 	56689 	64428 	66144 	67212 	68280 	62581 	67299 	74271 
A,TOTAL,REACH,TOTAL,NR,T,BE	84148 b	93600 	102657 	94573 	89794 	92471 	89690 	88935 	102936 	76562 	87272 	84627 
A,TOTAL,REACH,TOTAL,NR,T,BG	: 	16615 bp	19678 p	28727 p	29470 p	30570 p	31586 p	33225 p	39941 p	6649 p	26755 	13175 
A,TOTAL,REACH,TOTAL,NR,T,CH	96494 b	103881 	106196 	111103 	116631 	120653 	124997 	130225 	126221 	109376 	116769 	122123 
A,TOTAL,REACH,TOTAL,NR,T,CY	4895 	18105 	25227 	24038 	17183 	14892 	15105 	15340 	17373 	21368 	18410 	17958 
A,TOTAL,REACH,TOTAL,NR,T,CZ	55910 b	46106 	25894 b	28468 	25684 	38864 	27316 	26742 	77798 	35854 	18630 	31764 
A,TOTAL,REACH,TOTAL,NR,T,DE	249045 	240001 	259328 	311230 e	315882 e	514560 e	511185 e	470500 e	491500 e	398905 e	453812 e	448534 e
A,TOTAL,REACH,TOTAL,NR,T,DK	41593 	43663 	43310 	44426 	44625 	52654 	56403 	60381 	66520 	53822 	44008 	62927 
A,TOTAL,REACH,TOTAL,NR,T,EE	6214 	6321 	6740 	4637 	13003 b	13792 	12358 	10476 	12801 	12427 	12481 	9657 
A,TOTAL,REACH,TOTAL,NR,T,EL	92404 	124694 	117094 	106804 b	109351 	106535 	103327 	103049 	95020 	77837 	79596 	80307 
A,TOTAL,REACH,TOTAL,NR,T,ES	409034 	446606 	532303 	400430 	343875 	327325 	368860 	309526 	296248 	248561 	696866 b	531889 
A,TOTAL,REACH,TOTAL,NR,T,EU27_2020	: 	: 	2448647 bep	2444152 bep	2445707 bep	2635537 ep	2576348 ep	2393130 ep	2556040 ep	1995154 ep	2687717 bep	2645362 ep
A,TOTAL,REACH,TOTAL,NR,T,FI	12660 	13845 	13893 	15486 	16305 	18082 	16973 	19141 	17263 	15084 	13459 	15635 
A,TOTAL,REACH,TOTAL,NR,T,FR	291594 	255922 	239813 	308103 	324517 	313622 	215470 	188740 	259143 	61006 	154736 p	249355 p
A,TOTAL,REACH,TOTAL,NR,T,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	125269 
A,TOTAL,REACH,TOTAL,NR,T,HR	12699 	12877 	15262 	20858 	29651 	36436 	47352 	39515 	40148 	34046 	40424 	46287 
A,TOTAL,REACH,TOTAL,NR,T,HU	15100 	22880 	34691 	42213 	43225 	39889 	39829 	48178 	49795 	67364 	67999 	58408 
A,TOTAL,REACH,TOTAL,NR,T,IE	83049 b	81797 	76560 	71107 	67160 	55507 	58788 	50258 	51410 	51313 	53673 	61133 
A,TOTAL,REACH,TOTAL,NR,T,IS	4812 	4758 	4372 	4052 	4046 	4159 	3641 	4372 	4590 	6009 	4661 	5091 
A,TOTAL,REACH,TOTAL,NR,T,IT	82461 	106216 	125735 	136328 	146955 	157065 	155110 	156960 	179505 	159884 	158312 	150189 
A,TOTAL,REACH,TOTAL,NR,T,LI	467 	439 	497 	476 	468 	522 	426 	484 	446 	432 	516 	480 
