freq,unit,na_item,geo	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
A,CLV20_EUR_HAB,B1GQ,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4850 b	4710 	5190 	5500 	: 	: 
A,CLV20_EUR_HAB,B1GQ,AT	37880 	38230 	38610 	38880 	39620 	40270 	41370 	42790 	43280 	41620 	42280 	43370 	43450 	43080 	43070 	43200 	43550 	44260 	45140 	45730 	42650 	44520 	46350 	45510 	: 
A,CLV20_EUR_HAB,B1GQ,BE	35370 	35640 	36080 	36300 	37440 	38100 	38810 	39950 	39810 	38740 b	39420 	39670 	39510 	39440 	39960 	40310 	40590 	41030 	41610 	42400 	40190 	42510 	43950 	44120 p	: 
A,CLV20_EUR_HAB,B1GQ,BG	4160 	4460 	4750 	5020 	5380 	5790 	6220 	6660 	7110 	6900 	7060 	7390 	7530 	7600 	7760 	8130 	8480 	8830 	9180 	9670 	9450 	10250 	10740 	10970 	: 
A,CLV20_EUR_HAB,B1GQ,CH	65020 	65720 	65210 	64720 	66020 	67440 	69750 	71840 	72990 	70520 	72250 	72900 	72960 	73420 	74230 	74530 	75260 	75580 	77180 	77510 	75280 	78880 	80600 p	79940 p	: 
A,CLV20_EUR_HAB,B1GQ,CY	20500 	21080 	21610 	21910 	22710 	23470 	24170 	24870 	25130 	23980 	23890 	23390 	22240 	20820 	20680 	21560 	22820 	23900 	25100 	26210 	25080 	27680 	29320 	29610 p	: 
A,CLV20_EUR_HAB,B1GQ,CZ	13410 	13860 	14110 	14570 	15250 	16180 	17200 	18050 	18330 	17350 	17770 	18120 	17970 	17970 	18370 	19270 	19760 	20760 	21320 	22050 	20980 	21830 	21910 	21660 	: 
A,CLV20_EUR_HAB,B1GQ,DE	34680 	35220 	35110 	34940 	35380 	35750 	37200 	38360 	38820 	36800 	38420 	39870 	39980 	40020 	40720 	41040 	41640 	42610 	42960 	43290 	41480 	42990 p	43260 p	42780 p	42590 p
A,CLV20_EUR_HAB,B1GQ,DK	47150 	47430 	47490 	47570 	48770 	49780 	51510 	51790 	51270 	48460 	49010 	49440 	49260 	49750 	50110 	50810 	51950 	53200 	53920 	54630 	53540 	57250 	57620 	58640 	: 
A,CLV20_EUR_HAB,B1GQ,EA19	30330 	30880 	31010 	31060 	31600 	31980 	32890 	33700 	33670 	32070 	32660 	33150 	32760 	32650 	33060 	33660 	34160 	34970 	35490 	35960 	33740 	35850 	36920 	36820 	: 
A,CLV20_EUR_HAB,B1GQ,EA20	30030 	30600 	30730 	30780 	31330 	31710 	32620 	33420 	33400 	31810 	32400 	32870 	32490 	32380 	32790 	33390 	33890 	34700 	35220 	35700 	33500 	35610 	36680 	36590 	: 
A,CLV20_EUR_HAB,B1GQ,EE	10480 	11160 	12020 	13010 	13980 	15400 	17010 	18400 	17510 	14980 	15380 	16590 	17260 	17630 	18280 	18650 	19190 	20270 	20970 	21650 	20960 	22440 	22430 	21210 	: 
A,CLV20_EUR_HAB,B1GQ,EL	16120 	16780 	17510 	18480 	19420 	19590 	20790 	21470 	21420 	20490 	19300 	17420 	16050 	15800 	16030 	16100 	16160 	16430 	16810 	17210 	15660 	17110 	18200 p	18670 p	: 
A,CLV20_EUR_HAB,B1GQ,ES	22930 	23700 	23970 	24220 	24590 	25000 	25600 	25990 	25760 	24590 	24510 	24260 	23560 	23310 	23730 	24720 	25420 	26110 	26620 	26930 	23850 	25440 	26770 p	27150 p	27770 p
A,CLV20_EUR_HAB,B1GQ,EU27_2020	25660 	26170 	26390 	26530 	27100 	27530 	28410 	29200 	29280 	27970 	28520 	29030 	28760 	28730 	29160 	29780 	30300 	31090 	31670 	32210 	30440 b	32380 	33300 	33280 	: 
A,CLV20_EUR_HAB,B1GQ,FI	36230 	37100 	37630 	38300 	39720 	40680 	42150 	44210 	44350 	40570 	41660 	42460 	41620 	41020 	40650 	40700 	41640 	42910 	43360 	43910 	42740 	43800 	44010 	43310 	: 
A,CLV20_EUR_HAB,B1GQ,FR	32030 	32400 	32510 	32600 	33300 	33680 	34360 	35010 	34960 	33800 	34310 	34990 	34880 	34980 	35150 	35370 	35540 	36140 	36570 	37160 	34280 	36510 	37330 p	37570 p	: 
A,CLV20_EUR_HAB,B1GQ,HR	8500 	9100 b	9620 	10150 	10570 	11020 	11580 	12160 	12410 	11570 	11440 	11470 	11250 	11270 	11260 	11600 	12100 	12630 	13120 	13870 b	12840 	14560 	15640 	16060 p	: 
A,CLV20_EUR_HAB,B1GQ,HU	8800 	9180 	9640 	10050 	10570 	11050 	11500 	11550 	11690 	10920 	11060 	11300 	11220 b	11490 	12040 	12530 	12880 	13460 	14240 	14980 	14370 	15460 	16160 	16030 p	: 
