freq,effect,unit,geo	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A,ENTRY_REF,NR,AT	0.33 	0.08 	0.05 	0.05 	0.03 	0.04 	0.05 	0.07 	0.05 	0.08 	0.05 	0.09 	0.03 	0.06 	0.06 	0.07 
A,ENTRY_REF,NR,BE	0.11 	0.19 	0.17 	0.25 	0.22 	0.14 	0.14 	0.15 	0.14 	0.21 	0.19 	0.20 	0.07 	0.10 	0.15 	0.15 
A,ENTRY_REF,NR,BG	0.54 	0.41 	0.41 	0.38 	0.42 	0.35 	0.32 	0.33 	0.30 	0.40 	0.46 	0.61 	0.67 	0.89 	1.16 	1.12 
A,ENTRY_REF,NR,CH	0.12 	0.15 	0.15 	0.13 	0.11 	0.12 	0.11 	0.11 	0.11 	0.15 	0.14 	0.14 	0.15 	0.24 	0.19 	0.15 
A,ENTRY_REF,NR,CY	1.15 	0.84 	0.84 	0.69 	0.63 	0.50 	0.49 	0.49 	0.66 	1.67 	2.34 	1.03 	0.41 	0.49 	0.47 	0.51 
A,ENTRY_REF,NR,CZ	0.02 	0.04 	0.03 	0.03 	0.02 	0.03 	0.03 	0.04 	0.03 	0.02 	0.03 	0.04 	0.04 	0.03 	0.03 	0.04 
A,ENTRY_REF,NR,DE	0.09 	0.04 	0.04 	0.04 	0.05 	0.05 	0.04 	0.05 	0.05 	0.05 	0.06 	0.08 	0.05 	0.06 	0.07 	0.07 
A,ENTRY_REF,NR,DK	0.01 	0.01 	0.01 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.05 	0.06 	0.11 	0.08 	0.11 	0.09 	0.09 
A,ENTRY_REF,NR,EE	1.74 	0.69 	1.25 	1.66 	1.45 	1.06 	0.53 	0.73 	0.66 	0.89 	1.24 	1.60 	0.38 	0.42 	4.10 	4.29 
A,ENTRY_REF,NR,EL	0.19 	0.27 	0.34 	1.00 	0.85 	0.64 	0.59 	0.63 	1.68 	1.97 	1.33 	0.65 	0.29 	0.29 	0.52 	0.70 
A,ENTRY_REF,NR,ES	11.17 	8.37 	6.24 	4.88 	4.27 	4.13 	3.70 	3.62 	4.14 	4.36 	4.94 	10.51 	0.07 	0.05 	0.15 	0.15 
A,ENTRY_REF,NR,EU27_2020	: 	: 	: 	: 	: 	0.70 	0.61 	0.63 	0.72 	0.78 	0.88 	1.50 	0.31 	0.31 	0.32 	0.27 e
A,ENTRY_REF,NR,FI	0.34 	0.24 	0.22 	0.26 	0.30 	0.32 	0.29 	0.20 	0.17 	0.25 	0.32 	0.32 	0.31 	0.21 	0.72 	0.40 
A,ENTRY_REF,NR,FR	0.26 	0.22 	0.15 	0.16 	0.17 	0.17 	0.17 	0.16 	0.13 	0.15 	0.14 	0.15 	0.06 	0.12 	0.14 	0.14 e
A,ENTRY_REF,NR,HR	: 	: 	: 	: 	: 	2.35 	2.04 	2.21 	2.18 	2.41 	3.23 	3.20 	3.62 	3.52 	3.06 	2.83 
A,ENTRY_REF,NR,HU	0.55 	0.77 	1.05 	1.18 	0.93 	1.12 	1.35 	1.17 	1.01 	1.43 	1.54 	1.46 	3.74 	3.56 	1.63 	1.31 
