freq,reason,citizen,duration,unit,geo	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A,EDUC,TOTAL,TOTAL,PER,AT	6298 	5538 	6350 	7063 	5770 	4591 	4422 	4078 	2718 	4703 	4743 	6275 
A,EDUC,TOTAL,TOTAL,PER,BE	5813 	5902 	6286 	6345 	6303 	6896 	6908 	8661 	5675 	9200 	9297 	9523 
A,EDUC,TOTAL,TOTAL,PER,BG	1396 	935 	911 	874 	1067 	1267 	1267 	1642 	1154 	1326 	1923 	2306 
A,EDUC,TOTAL,TOTAL,PER,CH	10239 	11153 	8767 	10080 	10222 	10625 	10670 	11043 	9470 	11785 	13037 	13279 
A,EDUC,TOTAL,TOTAL,PER,CY	1433 	1397 	1444 	2226 	3313 	4923 	3339 	4372 	2403 	3281 	1956 	2810 
A,EDUC,TOTAL,TOTAL,PER,CZ	6381 	6215 	6030 	13658 	17099 	11076 	12132 	14446 	7550 	12777 	10128 	9764 
A,EDUC,TOTAL,TOTAL,PER,DE	40479 	45955 	49406 	16683 	46083 	48637 	65232 	61299 	14605 b	67477 	83215 	77341 
A,EDUC,TOTAL,TOTAL,PER,DK	6535 	7460 	8096 	9242 	10446 	10649 	10954 	12353 	6184 	5587 	10932 	13049 
A,EDUC,TOTAL,TOTAL,PER,EE	424 	498 	777 	986 	1114 	1193 	1272 	1377 	556 	1120 	579 	449 
A,EDUC,TOTAL,TOTAL,PER,EL	842 	1074 	835 	871 	902 	850 	813 	961 	687 	681 	893 	676 
A,EDUC,TOTAL,TOTAL,PER,ES	27114 	26416 	29668 	33096 	35636 	39664 	41983 	45032 	28550 	51090 	58418 	90922 b
A,EDUC,TOTAL,TOTAL,PER,EU27_2020	: 	280743 	299606 	296755 	328419 	354414 	397454 	401039 	249091 	398165 	470884 	534558 
A,EDUC,TOTAL,TOTAL,PER,FI	5405 	5314 	5528 	5756 	6235 	5094 	5090 	5194 	2780 	5961 	9314 	12914 
A,EDUC,TOTAL,TOTAL,PER,FR	59045 	62988 	65201 	70250 	73865 	80566 	83975 	90668 	73819 	91100 	105717 	111719 p
A,EDUC,TOTAL,TOTAL,PER,HR	: 	185 	418 	387 	526 	591 	495 	332 	225 	244 	328 	377 
A,EDUC,TOTAL,TOTAL,PER,HU	4411 	5515 	5168 	5876 	7874 	10852 	10772 	10188 	8976 	9590 	10148 	11575 
A,EDUC,TOTAL,TOTAL,PER,IE	16828 	21394 	23730 	22075 	21421 	27588 	30193 u	34735 u	14730 	14611 u	41506 u	39847 u
A,EDUC,TOTAL,TOTAL,PER,IS	286 	293 	373 	384 	423 	467 	525 	378 	377 	535 	585 	694 
A,EDUC,TOTAL,TOTAL,PER,IT	30631 	27083 	24373 	22870 	16847 	17963 	21795 	20020 	8428 	17807 	25466 	27951 
A,EDUC,TOTAL,TOTAL,PER,LI	: 	26 	35 	43 	50 	45 	43 	46 	34 	28 	22 	26 
A,EDUC,TOTAL,TOTAL,PER,LT	385 	603 	666 	743 	928 	994 	1194 	1337 	1353 	1722 	1970 	4565 
A,EDUC,TOTAL,TOTAL,PER,LU	410 	404 	456 	442 	420 	579 	565 	632 	249 	546 	633 	786 
A,EDUC,TOTAL,TOTAL,PER,LV	674 	808 	1050 	1117 	1314 	1603 	2339 	2577 	1211 	1380 	1985 	3243 
A,EDUC,TOTAL,TOTAL,PER,MT	195 	1849 	2924 	2346 	1848 	3050 	3397 	4620 	2041 	2790 	5260 	7280 
