freq,c_birth,age,unit,sex,geo	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
A,FOR,TOTAL,NR,T,AT	1364003 	1414215 	1483123 	1588209 	1649008 	1690619 	1722833 	1760595 	1792053 	1834342 	1963312 	: 
A,FOR,TOTAL,NR,T,BE	1722265 	1748748 	1783488 	1845631 	1876726 	1916272 	1968060 	2027763 	2065727 	2119691 	2246910 	2324053 
A,FOR,TOTAL,NR,T,BG	95180 	107275 	120635 	131924 	139655 	149096 	162346 	176321 	188519 	142214 	168595 	211839 
A,FOR,TOTAL,NR,T,CH	2102964 	2183206 	2258196 	2324461 	2391480 	2432519 	2469381 	2509692 	2553225 	2598146 	2662038 	2794948 
A,FOR,TOTAL,NR,T,CY	200842 	191587 	176693 	172808 	173791 	181369 	185528 	191415 	200936 	205798 	247304 b	259939 
A,FOR,TOTAL,NR,T,CZ	387337 	396156 	416454 	433290 	465056 	467580 	507051 	533639 	409220 b	685840 b	990821 	1069593 
A,FOR,TOTAL,NR,T,DE	9456225 b	9807877 e	10220418 e	10908255 	12105436 	13745843 	14879635 	15040708 	15162728 	15287650 e	16476370 e	: 
A,FOR,TOTAL,NR,T,DK	548411 	569596 	595876 	636666 	668090 	690549 	707880 	715936 	721135 	745851 	804061 	832354 
A,FOR,TOTAL,NR,T,EE	198411 	196558 	194664 b	193813 	192535 	196207 	197896 	198306 	198243 	200583 	234743 	244422 
A,FOR,TOTAL,NR,T,EL	1279516 	1265165 	1242924 	1220395 	1250863 	1277861 	1307471 	1348174 	1361720 	1198086 b	1173236 	: 
A,FOR,TOTAL,NR,T,ES	6165635 	5952770 	5883891 	5913165 	6014708 	6207509 	6549309 	7014753 	7254797 	7468144 	8204206 	8838234 
A,FOR,TOTAL,NR,T,EU27_2020	: 	: 	44279689 be	45867619 e	48056139 be	50682392 e	53218758 b	54838252 e	55605911 be	55845177 ep	59949766 ep	: 
A,FOR,TOTAL,NR,T,FI	279743 	297812 	314856 	329219 	348986 	363717 	377360 	393555 	408676 	428409 	461205 	520119 
A,FOR,TOTAL,NR,T,FR	7543950 	7746520 b	7915838 	8028227 	8098872 	8199663 	8368280 	8473346 	8548924 	8635504 	8963311 p	9328900 p
A,FOR,TOTAL,NR,T,HR	569220 	558092 	545115 	526279 	512411 	496265 	488393 	486390 	478056 	472308 b	490555 	519916 
A,FOR,TOTAL,NR,T,HU	423317 	447029 	475508 	503787 	513649 	536182 	564761 	593937 	597440 	612618 	644496 	677036 
A,FOR,TOTAL,NR,T,IE	760960 	754664 	759256 	773649 	936883 	957976 	990469 	1022915 	1030012 	1050907 	1150590 	1211883 
A,FOR,TOTAL,NR,T,IS	35319 	37116 	39072 	41853 	46080 	53540 	59999 	65205 	67438 	71767 	82227 	80699 
A,FOR,TOTAL,NR,T,IT	5220823 	5355018 	5383252 	5656510 	5770263 	5888837 	6069000 b	6161391 	6262207 	6161003 	6417206 	6673604 
A,FOR,TOTAL,NR,T,LI	23109 	23424 	23799 	24241 	24634 	25098 	25561 	26081 	26560 	26971 	27435 	27940 
A,FOR,TOTAL,NR,T,LT	138297 	133746 	131929 	126264 	124964 	132127 	148679 	153697 	155586 	168787 	231822 	268299 
A,FOR,TOTAL,NR,T,LU	227461 	237848 	248888 	260573 	270010 b	280151 	290644 	301688 	309164 	318568 	333085 	342943 
A,FOR,TOTAL,NR,T,LV	279227 	271126 	265418 	258889 	251465 	246040 	241754 	236953 	230095 	223631 	241096 	238614 
A,FOR,TOTAL,NR,T,MT	43331 	44019 	52536 	61525 	69437 	83245 	99436 	118994 	119556 	122742 	153361 	173781 
A,FOR,TOTAL,NR,T,NL	1927728 	1953436 	1996318 	2056520 	2137234 	2215849 	2298705 	2399804 	2451157 	2550837 	2776950 	2914939 
A,FOR,TOTAL,NR,T,NO	668178 	709566 	747423 	778764 	806618 	829705 	849354 	867778 	878153 	906843 	965546 	1020048 
A,FOR,TOTAL,NR,T,PL	625363 	620308 p	611855 p	626396 p	651845 ep	695850 ep	760849 	849320 ep	935740 	931158 ep	933118 ep	935897 ep
A,FOR,TOTAL,NR,T,PT	1197532 	1176104 	1160656 	1170320 	1200249 	1236888 	1307266 	1416498 	1495524 	1568066 	1733067 	1703848 
A,FOR,TOTAL,NR,T,RO	182939 	211210 e	281048 	347344 	419238 	510526 	611627 	723913 e	688697 e	: 	529974 e	: 
A,FOR,TOTAL,NR,T,SE	1472353 	1532563 	1602522 	1675116 	1783179 	1875637 	1954065 	2018191 	2045234 	2089008 	2144268 	2169296 
A,FOR,TOTAL,NR,T,SI	232703 	235310 	237616 	241203 	245369 	250226 	265072 	281621 	292824 	294533 	309289 	319914 
A,FOR,TOTAL,NR,T,SK	158164 	174908 	177624 	181642 	186217 	190308 	194389 	198429 	201941 	213171 	213178 	214037 
A,FOR,TOTAL,NR,T,TR	: 	: 	: 	: 	: 	: 	2278490 	: 	: 	: 	: 	3003234 
A,FOR,TOTAL,NR,T,UK	7923428 	8039324 	8406996 	8696511 	9298018 	9512464 	9469015 	: 	: 	: 	: 	: 
